Price,Close,High,Low,Open,Volume
Ticker,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS
Datetime,,,,,
2026-05-20 03:45:00+00:00,7982.5,7994.0,7839.0,7900.0,0
2026-05-20 03:50:00+00:00,7975.0,7996.0,7972.5,7983.0,6256
2026-05-20 03:55:00+00:00,7992.0,7997.5,7973.5,7978.5,5196
2026-05-20 04:00:00+00:00,8005.5,8014.5,7989.0,7991.0,12416
2026-05-20 04:05:00+00:00,8024.0,8024.0,7994.0,8004.5,4310
2026-05-20 04:10:00+00:00,7995.0,8025.0,7992.5,8025.0,7542
2026-05-20 04:15:00+00:00,7992.0,7996.0,7980.0,7985.5,5359
2026-05-20 04:20:00+00:00,8001.5,8008.0,7987.5,7992.5,1630
2026-05-20 04:25:00+00:00,7992.0,8009.5,7985.5,8005.0,3092
2026-05-20 04:30:00+00:00,8000.0,8003.0,7982.0,7992.0,9488
2026-05-20 04:35:00+00:00,8004.0,8007.5,7995.5,7998.5,3653
2026-05-20 04:40:00+00:00,8010.0,8015.5,8003.5,8006.5,4044
2026-05-20 04:45:00+00:00,8011.0,8016.0,8003.0,8008.5,1496
2026-05-20 04:50:00+00:00,8004.5,8016.0,8002.5,8008.5,4175
2026-05-20 04:55:00+00:00,8029.5,8029.5,8001.5,8005.0,3079
2026-05-20 05:00:00+00:00,8027.5,8034.5,8012.0,8030.0,4242
2026-05-20 05:05:00+00:00,8031.5,8042.0,8024.5,8026.0,5894
2026-05-20 05:10:00+00:00,8036.0,8038.0,8027.5,8031.5,3646
2026-05-20 05:15:00+00:00,8043.0,8056.5,8035.0,8036.5,6570
2026-05-20 05:20:00+00:00,8034.5,8046.0,8028.0,8043.5,4777
2026-05-20 05:25:00+00:00,8042.5,8045.5,8034.0,8034.5,1706
2026-05-20 05:30:00+00:00,8047.5,8050.0,8042.0,8042.0,3618
2026-05-20 05:35:00+00:00,8049.5,8053.5,8046.5,8046.5,2484
2026-05-20 05:40:00+00:00,8037.5,8051.0,8035.5,8049.5,2743
2026-05-20 05:45:00+00:00,8039.5,8045.5,8034.0,8037.0,3086
2026-05-20 05:50:00+00:00,8050.0,8052.5,8034.5,8040.0,2406
2026-05-20 05:55:00+00:00,8048.5,8055.0,8045.5,8047.0,2757
2026-05-20 06:00:00+00:00,8031.0,8051.0,8030.0,8049.5,2562
2026-05-20 06:05:00+00:00,8019.0,8031.5,8016.5,8031.5,4956
2026-05-20 06:10:00+00:00,8033.5,8033.5,8018.0,8020.0,3669
2026-05-20 06:15:00+00:00,8038.5,8040.0,8033.0,8037.0,2706
2026-05-20 06:20:00+00:00,8034.0,8038.5,8034.0,8038.5,910
2026-05-20 06:25:00+00:00,8040.5,8042.0,8032.5,8036.0,1950
2026-05-20 06:30:00+00:00,8036.0,8040.5,8032.0,8037.5,1557
2026-05-20 06:35:00+00:00,8068.5,8071.5,8035.5,8036.0,12578
2026-05-20 06:40:00+00:00,8079.0,8093.0,8067.5,8069.5,12316
2026-05-20 06:45:00+00:00,8054.0,8088.0,8053.0,8079.0,15916
2026-05-20 06:50:00+00:00,8070.0,8073.0,8054.0,8054.0,4227
2026-05-20 06:55:00+00:00,8066.0,8073.5,8062.0,8070.0,2660
2026-05-20 07:00:00+00:00,8061.5,8070.0,8055.0,8065.0,4716
2026-05-20 07:05:00+00:00,8061.0,8066.0,8060.0,8060.5,1060
