Price,Close,High,Low,Open,Volume
Ticker,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS
Datetime,,,,,
2026-05-20 03:45:00+00:00,5343.0,5390.5,5341.0,5390.5,0
2026-05-20 03:50:00+00:00,5336.5,5350.0,5329.5,5339.5,11517
2026-05-20 03:55:00+00:00,5347.0,5348.0,5336.5,5337.5,6403
2026-05-20 04:00:00+00:00,5350.5,5353.0,5343.5,5346.5,4958
2026-05-20 04:05:00+00:00,5347.0,5355.0,5342.0,5350.5,5128
2026-05-20 04:10:00+00:00,5345.0,5349.0,5343.5,5345.0,4150
2026-05-20 04:15:00+00:00,5348.0,5358.5,5346.5,5351.5,4490
2026-05-20 04:20:00+00:00,5341.5,5352.0,5340.5,5349.5,7173
2026-05-20 04:25:00+00:00,5344.0,5344.5,5340.0,5341.5,2919
2026-05-20 04:30:00+00:00,5328.0,5346.5,5328.0,5343.0,4761
2026-05-20 04:35:00+00:00,5324.0,5328.0,5322.5,5328.0,5473
2026-05-20 04:40:00+00:00,5342.0,5350.0,5323.5,5325.0,16673
2026-05-20 04:45:00+00:00,5348.0,5357.5,5340.0,5340.5,4712
2026-05-20 04:50:00+00:00,5350.0,5353.0,5342.5,5346.5,2574
2026-05-20 04:55:00+00:00,5346.0,5355.0,5346.0,5350.0,4320
2026-05-20 05:00:00+00:00,5345.5,5347.5,5343.0,5345.0,2406
2026-05-20 05:05:00+00:00,5341.5,5347.5,5341.0,5345.5,2404
2026-05-20 05:10:00+00:00,5335.0,5343.0,5335.0,5341.5,2825
2026-05-20 05:15:00+00:00,5331.5,5336.5,5330.0,5336.5,1451
2026-05-20 05:20:00+00:00,5342.5,5342.5,5331.5,5332.5,6160
2026-05-20 05:25:00+00:00,5334.5,5342.0,5333.5,5341.5,1793
2026-05-20 05:30:00+00:00,5335.0,5338.5,5333.5,5336.0,2134
2026-05-20 05:35:00+00:00,5334.5,5340.0,5334.5,5335.5,5068
2026-05-20 05:40:00+00:00,5331.0,5339.0,5331.0,5335.5,4088
2026-05-20 05:45:00+00:00,5331.5,5334.0,5331.0,5332.0,1967
2026-05-20 05:50:00+00:00,5336.0,5337.0,5331.0,5331.5,2225
2026-05-20 05:55:00+00:00,5347.5,5347.5,5336.0,5336.0,55862
2026-05-20 06:00:00+00:00,5351.0,5355.0,5345.5,5346.0,4964
2026-05-20 06:05:00+00:00,5350.0,5363.0,5349.0,5353.0,4085
2026-05-20 06:10:00+00:00,5348.5,5351.0,5345.5,5348.0,1512
2026-05-20 06:15:00+00:00,5349.5,5352.5,5345.5,5348.5,2109
2026-05-20 06:20:00+00:00,5347.5,5349.0,5346.0,5349.0,1659
2026-05-20 06:25:00+00:00,5344.0,5348.0,5343.0,5347.5,2150
2026-05-20 06:30:00+00:00,5342.0,5346.0,5341.0,5345.0,2128
2026-05-20 06:35:00+00:00,5344.5,5344.5,5340.0,5342.0,1801
2026-05-20 06:40:00+00:00,5340.5,5344.5,5340.0,5344.5,2930
2026-05-20 06:45:00+00:00,5341.5,5343.5,5340.0,5341.5,2455
2026-05-20 06:50:00+00:00,5342.5,5345.0,5339.0,5340.0,2307
2026-05-20 06:55:00+00:00,5340.0,5342.5,5339.0,5342.5,15428
2026-05-20 07:00:00+00:00,5343.0,5345.0,5340.0,5340.5,4112
2026-05-20 07:05:00+00:00,5344.5,5346.0,5340.5,5342.0,1976
2026-05-20 07:10:00+00:00,5340.5,5344.5,5340.0,5344.5,3276
2026-05-20 07:15:00+00:00,5344.5,5344.5,5340.0,5340.5,2281
2026-05-20 07:20:00+00:00,5343.0,5344.0,5341.5,5344.0,1565
2026-05-20 07:25:00+00:00,5342.5,5344.5,5341.5,5342.5,1538
2026-05-20 07:30:00+00:00,5343.0,5346.0,5340.0,5342.5,1940
2026-05-20 07:35:00+00:00,5342.5,5343.0,5340.5,5343.0,1795
2026-05-20 07:40:00+00:00,5342.5,5343.5,5341.5,5342.5,1485
2026-05-20 07:45:00+00:00,5341.0,5342.5,5340.0,5342.5,1599
2026-05-20 07:50:00+00:00,5343.5,5349.5,5340.5,5341.5,4806
2026-05-20 07:55:00+00:00,5342.5,5346.0,5340.5,5343.5,1654
2026-05-20 08:00:00+00:00,5348.0,5349.5,5342.0,5342.0,4343
2026-05-20 08:05:00+00:00,5347.5,5349.5,5345.0,5348.0,2364
2026-05-20 08:10:00+00:00,5347.5,5348.0,5345.5,5348.0,2024
2026-05-20 08:15:00+00:00,5345.5,5349.0,5344.0,5347.5,2290
2026-05-20 08:20:00+00:00,5347.0,5349.0,5345.0,5347.5,46323
2026-05-20 08:25:00+00:00,5345.0,5347.0,5340.0,5347.0,6990
2026-05-20 08:30:00+00:00,5345.0,5346.5,5342.0,5345.0,2071
2026-05-20 08:35:00+00:00,5345.0,5345.0,5342.0,5345.0,2384
2026-05-20 08:40:00+00:00,5346.5,5347.0,5343.5,5345.0,1939
2026-05-20 08:45:00+00:00,5349.0,5354.0,5345.5,5346.0,5730
2026-05-20 08:50:00+00:00,5354.0,5355.0,5347.5,5349.0,2749
