Price,Close,High,Low,Open,Volume
Ticker,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS
Datetime,,,,,
2026-05-20 03:45:00+00:00,1412.300048828125,1412.699951171875,1400.0999755859375,1405.0,0
2026-05-20 03:50:00+00:00,1416.4000244140625,1417.0,1411.0999755859375,1412.300048828125,54674
2026-05-20 03:55:00+00:00,1417.699951171875,1419.5999755859375,1415.0,1416.4000244140625,41028
2026-05-20 04:00:00+00:00,1419.0,1421.5,1417.5,1417.5,43464
2026-05-20 04:05:00+00:00,1419.699951171875,1421.800048828125,1417.800048828125,1419.300048828125,28534
2026-05-20 04:10:00+00:00,1419.4000244140625,1420.199951171875,1418.199951171875,1419.699951171875,29314
2026-05-20 04:15:00+00:00,1416.4000244140625,1419.199951171875,1415.699951171875,1419.199951171875,22971
2026-05-20 04:20:00+00:00,1417.699951171875,1418.800048828125,1416.699951171875,1416.699951171875,10410
2026-05-20 04:25:00+00:00,1418.0,1419.4000244140625,1416.699951171875,1417.699951171875,16628
2026-05-20 04:30:00+00:00,1413.800048828125,1418.0,1413.0999755859375,1418.0,23055
2026-05-20 04:35:00+00:00,1413.699951171875,1414.0,1412.9000244140625,1414.0,15541
2026-05-20 04:40:00+00:00,1415.800048828125,1417.0999755859375,1412.800048828125,1413.699951171875,32655
2026-05-20 04:45:00+00:00,1414.4000244140625,1417.4000244140625,1414.4000244140625,1415.699951171875,14620
2026-05-20 04:50:00+00:00,1412.800048828125,1415.0,1412.800048828125,1414.699951171875,18646
2026-05-20 04:55:00+00:00,1413.9000244140625,1413.9000244140625,1412.800048828125,1413.300048828125,5888
2026-05-20 05:00:00+00:00,1417.0,1417.5999755859375,1413.699951171875,1413.9000244140625,23126
2026-05-20 05:05:00+00:00,1416.0,1417.800048828125,1416.0,1417.0,30394
2026-05-20 05:10:00+00:00,1417.4000244140625,1418.699951171875,1416.0,1416.800048828125,17838
2026-05-20 05:15:00+00:00,1417.0,1417.4000244140625,1416.5999755859375,1417.0999755859375,13938
2026-05-20 05:20:00+00:00,1416.699951171875,1417.300048828125,1416.5999755859375,1417.0999755859375,6749
2026-05-20 05:25:00+00:00,1412.9000244140625,1417.199951171875,1412.300048828125,1416.800048828125,30306
2026-05-20 05:30:00+00:00,1410.0999755859375,1413.5,1409.9000244140625,1412.9000244140625,33409
2026-05-20 05:35:00+00:00,1411.5,1411.9000244140625,1410.5,1410.9000244140625,12918
2026-05-20 05:40:00+00:00,1408.199951171875,1412.5,1408.199951171875,1411.5,73789
2026-05-20 05:45:00+00:00,1407.9000244140625,1408.5,1405.699951171875,1408.199951171875,15686
2026-05-20 05:50:00+00:00,1410.0,1410.699951171875,1407.9000244140625,1407.9000244140625,9550
2026-05-20 05:55:00+00:00,1409.199951171875,1409.800048828125,1408.800048828125,1409.5,3870
2026-05-20 06:00:00+00:00,1408.5,1409.699951171875,1407.699951171875,1409.300048828125,6732
2026-05-20 06:05:00+00:00,1408.800048828125,1410.0,1408.300048828125,1408.5,5466
2026-05-20 06:10:00+00:00,1408.300048828125,1408.699951171875,1407.300048828125,1408.300048828125,5627
2026-05-20 06:15:00+00:00,1408.5,1409.9000244140625,1407.9000244140625,1408.199951171875,11817
2026-05-20 06:20:00+00:00,1410.0,1410.0,1408.300048828125,1408.300048828125,7060
2026-05-20 06:25:00+00:00,1408.5999755859375,1410.0,1408.4000244140625,1409.5,12681
2026-05-20 06:30:00+00:00,1409.800048828125,1409.9000244140625,1407.699951171875,1408.5999755859375,7294
2026-05-20 06:35:00+00:00,1409.300048828125,1409.800048828125,1408.5,1409.800048828125,8090
2026-05-20 06:40:00+00:00,1407.5,1410.5,1406.5999755859375,1409.300048828125,10798
2026-05-20 06:45:00+00:00,1407.0999755859375,1408.0,1407.0,1407.0999755859375,5816
2026-05-20 06:50:00+00:00,1406.800048828125,1407.4000244140625,1406.0999755859375,1407.0999755859375,6731
2026-05-20 06:55:00+00:00,1405.9000244140625,1407.0,1405.5999755859375,1406.699951171875,7867
2026-05-20 07:00:00+00:00,1405.5999755859375,1406.199951171875,1404.800048828125,1405.9000244140625,8802
2026-05-20 07:05:00+00:00,1406.0,1406.199951171875,1405.199951171875,1405.5999755859375,8025
2026-05-20 07:10:00+00:00,1406.199951171875,1406.699951171875,1405.5999755859375,1405.5999755859375,9281
2026-05-20 07:15:00+00:00,1407.4000244140625,1407.4000244140625,1405.5,1406.199951171875,17399
2026-05-20 07:20:00+00:00,1409.300048828125,1409.800048828125,1407.0,1407.0,7884
2026-05-20 07:25:00+00:00,1408.5999755859375,1409.300048828125,1407.0,1409.300048828125,7841
2026-05-20 07:30:00+00:00,1408.199951171875,1409.300048828125,1407.4000244140625,1408.9000244140625,5416
2026-05-20 07:35:00+00:00,1408.199951171875,1408.300048828125,1407.199951171875,1407.5999755859375,6699
2026-05-20 07:40:00+00:00,1408.699951171875,1409.0,1407.800048828125,1408.199951171875,3814
2026-05-20 07:45:00+00:00,1407.5999755859375,1409.0999755859375,1407.5,1408.5,2984
2026-05-20 07:50:00+00:00,1405.5,1408.0999755859375,1404.699951171875,1407.800048828125,11194
2026-05-20 07:55:00+00:00,1403.0,1405.5999755859375,1402.4000244140625,1405.199951171875,10858
2026-05-20 08:00:00+00:00,1404.5,1404.5,1402.300048828125,1402.5,9122
2026-05-20 08:05:00+00:00,1406.0999755859375,1406.0999755859375,1404.0,1404.0,7930
2026-05-20 08:10:00+00:00,1404.300048828125,1406.300048828125,1404.300048828125,1406.199951171875,4708
2026-05-20 08:15:00+00:00,1405.5,1406.300048828125,1404.0,1404.0,10408
2026-05-20 08:20:00+00:00,1406.699951171875,1406.699951171875,1405.0999755859375,1405.5,3390
2026-05-20 08:25:00+00:00,1407.800048828125,1408.199951171875,1406.5,1406.5,2777
2026-05-20 08:30:00+00:00,1407.699951171875,1409.0999755859375,1407.199951171875,1408.0999755859375,6996
2026-05-20 08:35:00+00:00,1408.300048828125,1409.4000244140625,1407.5,1407.5999755859375,5972
2026-05-20 08:40:00+00:00,1407.800048828125,1408.300048828125,1407.199951171875,1408.300048828125,1785
2026-05-20 08:45:00+00:00,1404.800048828125,1408.0,1404.4000244140625,1407.300048828125,21354
2026-05-20 08:50:00+00:00,1404.5,1406.300048828125,1404.300048828125,1404.5999755859375,10389
2026-05-20 08:55:00+00:00,1405.0,1405.0,1403.699951171875,1405.0,5847
2026-05-20 09:00:00+00:00,1404.0999755859375,1405.4000244140625,1404.0999755859375,1405.0,5056
2026-05-20 09:05:00+00:00,1404.5,1404.5999755859375,1404.0999755859375,1404.0999755859375,3294
2026-05-20 09:10:00+00:00,1405.199951171875,1405.5999755859375,1404.5999755859375,1404.9000244140625,5664
2026-05-20 09:15:00+00:00,1404.9000244140625,1405.4000244140625,1404.0,1405.199951171875,9902
2026-05-20 09:20:00+00:00,1404.699951171875,1406.0,1404.699951171875,1404.9000244140625,10366
2026-05-20 09:25:00+00:00,1402.9000244140625,1405.800048828125,1402.5,1405.0,12511
2026-05-20 09:30:00+00:00,1399.5,1402.9000244140625,1398.300048828125,1402.9000244140625,45956
2026-05-20 09:35:00+00:00,1399.800048828125,1400.9000244140625,1399.0999755859375,1399.0999755859375,32718
2026-05-20 09:40:00+00:00,1400.0,1401.300048828125,1399.5,1400.0,32865
2026-05-20 09:45:00+00:00,1398.4000244140625,1400.199951171875,1398.0999755859375,1400.0,38090
2026-05-20 09:50:00+00:00,1398.300048828125,1398.9000244140625,1398.0,1398.800048828125,47351
2026-05-20 09:55:00+00:00,1399.5,1405.0,1398.300048828125,1398.300048828125,31414
2026-05-21 03:45:00+00:00,1407.0,1408.699951171875,1403.5999755859375,1407.0,0
2026-05-21 03:50:00+00:00,1406.300048828125,1408.4000244140625,1404.5999755859375,1406.800048828125,14003
2026-05-21 03:55:00+00:00,1405.5,1407.699951171875,1405.0999755859375,1406.4000244140625,20064
2026-05-21 04:00:00+00:00,1407.9000244140625,1407.9000244140625,1404.699951171875,1405.9000244140625,10653
2026-05-21 04:05:00+00:00,1412.5999755859375,1413.199951171875,1408.699951171875,1408.699951171875,16787
2026-05-21 04:10:00+00:00,1413.5999755859375,1415.5999755859375,1412.699951171875,1413.0,33828
2026-05-21 04:15:00+00:00,1412.0,1414.699951171875,1412.0,1413.800048828125,16460
2026-05-21 04:20:00+00:00,1410.9000244140625,1412.699951171875,1407.4000244140625,1412.699951171875,26481
2026-05-21 04:25:00+00:00,1409.0,1412.0,1409.0,1410.199951171875,11637
2026-05-21 04:30:00+00:00,1406.199951171875,1409.0999755859375,1405.4000244140625,1409.0,12204
2026-05-21 04:35:00+00:00,1404.5999755859375,1406.5999755859375,1404.0,1406.0999755859375,24938
2026-05-21 04:40:00+00:00,1405.9000244140625,1406.199951171875,1404.0,1405.0,9072
2026-05-21 04:45:00+00:00,1409.0,1409.699951171875,1405.5,1405.699951171875,15994
2026-05-21 04:50:00+00:00,1408.4000244140625,1408.9000244140625,1406.800048828125,1408.9000244140625,4134
2026-05-21 04:55:00+00:00,1409.0,1409.199951171875,1407.5,1407.9000244140625,4044
2026-05-21 05:00:00+00:00,1407.0,1410.0999755859375,1407.0,1409.0999755859375,10459
2026-05-21 05:05:00+00:00,1404.4000244140625,1407.699951171875,1403.0999755859375,1407.0,42008
2026-05-21 05:10:00+00:00,1405.9000244140625,1406.4000244140625,1403.5999755859375,1404.4000244140625,7555
2026-05-21 05:15:00+00:00,1405.0,1406.4000244140625,1404.5,1405.9000244140625,6102
2026-05-21 05:20:00+00:00,1405.0999755859375,1405.800048828125,1403.5,1405.0,6457
2026-05-21 05:25:00+00:00,1404.5999755859375,1405.199951171875,1404.0,1405.199951171875,3382
2026-05-21 05:30:00+00:00,1405.300048828125,1405.699951171875,1404.0,1404.5,9252
2026-05-21 05:35:00+00:00,1405.0,1405.699951171875,1403.800048828125,1405.699951171875,8648
2026-05-21 05:40:00+00:00,1404.699951171875,1405.699951171875,1403.699951171875,1404.9000244140625,8117
2026-05-21 05:45:00+00:00,1404.300048828125,1404.5999755859375,1402.199951171875,1404.5999755859375,15274
2026-05-21 05:50:00+00:00,1405.5999755859375,1405.9000244140625,1404.0,1404.699951171875,8138
2026-05-21 05:55:00+00:00,1406.4000244140625,1407.4000244140625,1405.199951171875,1405.5999755859375,12231
2026-05-21 06:00:00+00:00,1406.800048828125,1407.300048828125,1405.4000244140625,1406.9000244140625,6572
2026-05-21 06:05:00+00:00,1406.800048828125,1407.5999755859375,1406.0,1406.699951171875,10421
2026-05-21 06:10:00+00:00,1405.4000244140625,1408.0,1405.4000244140625,1406.4000244140625,8964
2026-05-21 06:15:00+00:00,1400.9000244140625,1406.0,1400.0,1406.0,17223
2026-05-21 06:20:00+00:00,1400.9000244140625,1401.5,1398.5,1401.4000244140625,21167
2026-05-21 06:25:00+00:00,1400.0,1401.4000244140625,1399.5,1400.9000244140625,18139
2026-05-21 06:30:00+00:00,1401.199951171875,1401.5,1400.0999755859375,1400.300048828125,8844
2026-05-21 06:35:00+00:00,1403.0999755859375,1403.0999755859375,1401.0,1401.5,8211
2026-05-21 06:40:00+00:00,1402.199951171875,1404.5999755859375,1401.5999755859375,1402.9000244140625,15532
2026-05-21 06:45:00+00:00,1404.9000244140625,1404.9000244140625,1401.4000244140625,1402.199951171875,8270
2026-05-21 06:50:00+00:00,1402.9000244140625,1405.699951171875,1402.699951171875,1404.9000244140625,8827
2026-05-21 06:55:00+00:00,1404.0999755859375,1405.0,1402.5,1402.5,18723
2026-05-21 07:00:00+00:00,1404.800048828125,1404.800048828125,1404.0,1404.0,4148
2026-05-21 07:05:00+00:00,1404.0,1405.0,1403.0999755859375,1404.4000244140625,23234
2026-05-21 07:10:00+00:00,1405.5999755859375,1405.5999755859375,1404.0,1404.199951171875,4331
2026-05-21 07:15:00+00:00,1405.5,1406.0,1404.0999755859375,1405.5999755859375,4258
2026-05-21 07:20:00+00:00,1405.699951171875,1406.699951171875,1405.300048828125,1405.5,6438
2026-05-21 07:25:00+00:00,1405.199951171875,1406.0999755859375,1404.800048828125,1405.699951171875,7230
2026-05-21 07:30:00+00:00,1405.300048828125,1405.699951171875,1404.699951171875,1405.699951171875,2627
2026-05-21 07:35:00+00:00,1407.199951171875,1408.0999755859375,1405.0,1405.800048828125,7132
2026-05-21 07:40:00+00:00,1408.699951171875,1409.0,1407.199951171875,1407.5,6275
2026-05-21 07:45:00+00:00,1409.300048828125,1410.0,1408.0,1408.699951171875,9237
2026-05-21 07:50:00+00:00,1408.699951171875,1409.800048828125,1408.5,1409.300048828125,7081
2026-05-21 07:55:00+00:00,1409.5,1410.5999755859375,1409.0,1409.0,7675
2026-05-21 08:00:00+00:00,1410.0999755859375,1410.699951171875,1409.0,1409.4000244140625,11930
2026-05-21 08:05:00+00:00,1410.5999755859375,1411.800048828125,1409.800048828125,1410.0999755859375,6127
2026-05-21 08:10:00+00:00,1409.5999755859375,1411.5,1409.5999755859375,1410.5,3057
2026-05-21 08:15:00+00:00,1408.9000244140625,1410.0999755859375,1408.300048828125,1409.5999755859375,22180
2026-05-21 08:20:00+00:00,1408.199951171875,1409.0999755859375,1407.5,1409.0999755859375,3450
2026-05-21 08:25:00+00:00,1408.5,1409.0,1405.4000244140625,1408.4000244140625,4910
2026-05-21 08:30:00+00:00,1409.0,1409.699951171875,1407.5,1409.0,6906
2026-05-21 08:35:00+00:00,1407.0999755859375,1409.5,1406.0,1409.5,26127
2026-05-21 08:40:00+00:00,1407.0999755859375,1407.300048828125,1406.199951171875,1406.4000244140625,16784
