Price,Close,High,Low,Open,Volume
Ticker,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS
Datetime,,,,,
2026-05-20 03:45:00+00:00,6920.0,6920.0,6891.5,6891.5,0
2026-05-20 03:50:00+00:00,6928.5,6931.5,6912.0,6921.5,9711
2026-05-20 03:55:00+00:00,6948.0,6957.5,6925.5,6926.0,10875
2026-05-20 04:00:00+00:00,6933.0,6952.5,6932.0,6946.5,8112
2026-05-20 04:05:00+00:00,6935.0,6938.0,6915.5,6934.0,4183
2026-05-20 04:10:00+00:00,6932.0,6942.0,6929.0,6935.5,8263
2026-05-20 04:15:00+00:00,6938.5,6938.5,6930.0,6932.0,4584
2026-05-20 04:20:00+00:00,6948.0,6950.0,6938.5,6938.5,5987
2026-05-20 04:25:00+00:00,6948.5,6949.0,6945.0,6947.0,2453
2026-05-20 04:30:00+00:00,6938.0,6948.5,6934.0,6945.5,2622
2026-05-20 04:35:00+00:00,6924.0,6939.0,6923.0,6939.0,3415
2026-05-20 04:40:00+00:00,6919.5,6929.5,6913.0,6925.0,6024
2026-05-20 04:45:00+00:00,6918.5,6931.0,6915.5,6920.0,12663
2026-05-20 04:50:00+00:00,6905.0,6920.5,6900.0,6919.0,9466
2026-05-20 04:55:00+00:00,6916.5,6918.0,6901.5,6904.0,1472
2026-05-20 05:00:00+00:00,6918.0,6923.5,6912.0,6917.0,3372
2026-05-20 05:05:00+00:00,6905.0,6918.0,6905.0,6917.5,1635
2026-05-20 05:10:00+00:00,6910.0,6912.0,6907.0,6908.0,1597
2026-05-20 05:15:00+00:00,6916.5,6919.0,6905.0,6910.0,2772
2026-05-20 05:20:00+00:00,6908.0,6919.5,6907.0,6918.0,4802
2026-05-20 05:25:00+00:00,6907.5,6919.5,6905.0,6907.0,10840
2026-05-20 05:30:00+00:00,6884.0,6922.0,6880.5,6908.0,67144
2026-05-20 05:35:00+00:00,6864.0,6902.5,6852.5,6884.5,41703
2026-05-20 05:40:00+00:00,6839.5,6873.5,6837.0,6864.0,21780
2026-05-20 05:45:00+00:00,6834.0,6844.0,6801.5,6843.5,15887
2026-05-20 05:50:00+00:00,6877.0,6878.0,6807.0,6831.0,38408
2026-05-20 05:55:00+00:00,6851.0,6877.0,6825.5,6876.0,13554
2026-05-20 06:00:00+00:00,6856.5,6868.5,6838.0,6847.5,10159
2026-05-20 06:05:00+00:00,6847.0,6858.5,6840.0,6850.5,6657
2026-05-20 06:10:00+00:00,6838.0,6855.0,6835.0,6848.5,3938
2026-05-20 06:15:00+00:00,6860.5,6865.0,6838.0,6838.0,5201
