Price,Close,High,Low,Open,Volume
Ticker,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS
Datetime,,,,,
2026-05-20 03:45:00+00:00,6765.0,6814.5,6755.0,6814.5,0
2026-05-20 03:50:00+00:00,6777.0,6786.5,6760.0,6762.5,8346
2026-05-20 03:55:00+00:00,6784.5,6793.5,6770.0,6775.0,5466
2026-05-20 04:00:00+00:00,6823.5,6824.5,6782.0,6782.0,6290
2026-05-20 04:05:00+00:00,6834.5,6846.0,6820.5,6822.0,7609
2026-05-20 04:10:00+00:00,6826.0,6832.0,6816.5,6829.5,9754
2026-05-20 04:15:00+00:00,6833.5,6834.5,6820.0,6824.0,2323
2026-05-20 04:20:00+00:00,6864.0,6864.0,6830.5,6832.5,4143
2026-05-20 04:25:00+00:00,6869.0,6870.0,6857.5,6864.0,3105
2026-05-20 04:30:00+00:00,6851.0,6870.0,6843.0,6870.0,6022
2026-05-20 04:35:00+00:00,6850.5,6855.5,6841.0,6850.0,5193
2026-05-20 04:40:00+00:00,6850.5,6858.0,6846.0,6850.0,1938
2026-05-20 04:45:00+00:00,6853.5,6858.0,6846.0,6851.0,3219
2026-05-20 04:50:00+00:00,6842.5,6853.5,6840.5,6852.0,1207
2026-05-20 04:55:00+00:00,6848.0,6850.5,6839.0,6842.0,1387
2026-05-20 05:00:00+00:00,6863.5,6867.5,6847.5,6847.5,1938
2026-05-20 05:05:00+00:00,6865.0,6869.0,6860.5,6864.0,1990
2026-05-20 05:10:00+00:00,6847.0,6865.0,6844.5,6865.0,1542
2026-05-20 05:15:00+00:00,6842.5,6847.0,6840.0,6846.5,1197
2026-05-20 05:20:00+00:00,6861.5,6861.5,6844.5,6845.0,1283
2026-05-20 05:25:00+00:00,6850.5,6861.0,6845.0,6861.0,1268
2026-05-20 05:30:00+00:00,6855.5,6858.5,6849.0,6852.5,1303
2026-05-20 05:35:00+00:00,6859.5,6860.5,6855.0,6855.5,1228
2026-05-20 05:40:00+00:00,6869.5,6874.5,6856.0,6857.5,4615
2026-05-20 05:45:00+00:00,6869.0,6873.0,6861.5,6870.0,4316
2026-05-20 05:50:00+00:00,6877.5,6882.5,6868.5,6869.0,5486
2026-05-20 05:55:00+00:00,6881.0,6887.0,6872.0,6872.5,14259
2026-05-20 06:00:00+00:00,6873.0,6882.0,6870.0,6879.5,2492
2026-05-20 06:05:00+00:00,6874.5,6876.0,6868.0,6873.0,2296
2026-05-20 06:10:00+00:00,6865.5,6878.5,6865.0,6873.0,1862
2026-05-20 06:15:00+00:00,6881.0,6881.0,6865.0,6865.0,2915
2026-05-20 06:20:00+00:00,6881.5,6881.5,6865.5,6878.0,11112
