Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Datetime,,,,,
2026-05-20 03:45:00+00:00,4907.5,4973.0,4906.0,4973.0,0
2026-05-20 03:50:00+00:00,4922.0,4923.0,4904.5,4905.0,16093
2026-05-20 03:55:00+00:00,4924.5,4924.5,4915.5,4923.0,11338
2026-05-20 04:00:00+00:00,4937.0,4937.0,4920.5,4922.5,9893
2026-05-20 04:05:00+00:00,4938.0,4942.0,4930.0,4931.0,7560
2026-05-20 04:10:00+00:00,4928.0,4938.0,4928.0,4938.0,4886
2026-05-20 04:15:00+00:00,4950.0,4951.0,4927.5,4927.5,12826
2026-05-20 04:20:00+00:00,4959.5,4963.0,4947.0,4951.0,11108
2026-05-20 04:25:00+00:00,4968.0,4968.0,4959.5,4962.0,5549
2026-05-20 04:30:00+00:00,4959.0,4969.5,4955.0,4968.0,7954
2026-05-20 04:35:00+00:00,4952.5,4957.5,4950.0,4957.5,4402
2026-05-20 04:40:00+00:00,4954.5,4955.5,4947.5,4950.5,5729
2026-05-20 04:45:00+00:00,4959.0,4961.0,4952.5,4954.5,3913
2026-05-20 04:50:00+00:00,4951.0,4958.5,4949.0,4958.5,3038
2026-05-20 04:55:00+00:00,4959.0,4960.5,4950.0,4950.0,2750
2026-05-20 05:00:00+00:00,4960.0,4968.5,4958.0,4960.5,4567
2026-05-20 05:05:00+00:00,4961.0,4973.5,4958.5,4960.0,7905
2026-05-20 05:10:00+00:00,4943.5,4960.0,4941.5,4960.0,4845
2026-05-20 05:15:00+00:00,4935.0,4946.5,4935.0,4943.5,4297
2026-05-20 05:20:00+00:00,4957.5,4959.5,4934.5,4934.5,5595
2026-05-20 05:25:00+00:00,4956.0,4958.0,4952.0,4957.5,1767
2026-05-20 05:30:00+00:00,4969.5,4969.5,4955.5,4957.0,4184
2026-05-20 05:35:00+00:00,4969.5,4971.5,4961.5,4970.5,5055
2026-05-20 05:40:00+00:00,4983.0,4991.5,4968.0,4970.5,13002
2026-05-20 05:45:00+00:00,4987.5,4990.0,4980.5,4983.0,4455
2026-05-20 05:50:00+00:00,4992.5,5000.0,4986.5,4987.5,7739
2026-05-20 05:55:00+00:00,5013.0,5015.0,4992.5,4993.0,11768
2026-05-20 06:00:00+00:00,4994.5,5013.0,4993.5,5013.0,8692
2026-05-20 06:05:00+00:00,4984.0,4996.0,4983.5,4995.0,3025
2026-05-20 06:10:00+00:00,4983.0,4985.0,4981.0,4984.0,1693
2026-05-20 06:15:00+00:00,4995.5,4999.0,4982.5,4983.5,6743
2026-05-20 06:20:00+00:00,4994.0,4998.0,4991.0,4995.5,4924
2026-05-20 06:25:00+00:00,4990.5,4997.0,4988.5,4994.0,4562
