Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Datetime,,,,,
2026-05-20 03:45:00+00:00,12757.0,12850.0,12755.0,12850.0,0
2026-05-20 03:50:00+00:00,12793.0,12800.0,12758.0,12761.0,5007
2026-05-20 03:55:00+00:00,12773.0,12800.0,12773.0,12794.0,4490
2026-05-20 04:00:00+00:00,12826.0,12850.0,12758.0,12761.0,19773
2026-05-20 04:05:00+00:00,12867.0,12875.0,12821.0,12823.0,17632
2026-05-20 04:10:00+00:00,12903.0,12904.0,12858.0,12866.0,10127
2026-05-20 04:15:00+00:00,12907.0,12920.0,12896.0,12900.0,12495
2026-05-20 04:20:00+00:00,12956.0,12956.0,12905.0,12907.0,22548
2026-05-20 04:25:00+00:00,12958.0,12959.0,12946.0,12956.0,12628
2026-05-20 04:30:00+00:00,12941.0,12985.0,12941.0,12966.0,13091
2026-05-20 04:35:00+00:00,12954.0,12955.0,12941.0,12941.0,6781
2026-05-20 04:40:00+00:00,12973.0,12974.0,12951.0,12952.0,1664
2026-05-20 04:45:00+00:00,12958.0,12988.0,12958.0,12973.0,4636
2026-05-20 04:50:00+00:00,12951.0,12962.0,12950.0,12957.0,5786
2026-05-20 04:55:00+00:00,12955.0,12955.0,12950.0,12951.0,4748
2026-05-20 05:00:00+00:00,12970.0,12993.0,12953.0,12953.0,5298
2026-05-20 05:05:00+00:00,12990.0,13007.0,12968.0,12970.0,2356
2026-05-20 05:10:00+00:00,12965.0,12992.0,12960.0,12991.0,1294
2026-05-20 05:15:00+00:00,12952.0,12965.0,12952.0,12965.0,924
2026-05-20 05:20:00+00:00,12994.0,12994.0,12952.0,12952.0,2892
2026-05-20 05:25:00+00:00,12993.0,12996.0,12985.0,12994.0,977
2026-05-20 05:30:00+00:00,13005.0,13014.0,12994.0,12994.0,2566
2026-05-20 05:35:00+00:00,13003.0,13010.0,13000.0,13005.0,1495
2026-05-20 05:40:00+00:00,13006.0,13025.0,13000.0,13001.0,3054
2026-05-20 05:45:00+00:00,13020.0,13030.0,13003.0,13006.0,3648
2026-05-20 05:50:00+00:00,13009.0,13057.0,13008.0,13020.0,17348
2026-05-20 05:55:00+00:00,13009.0,13025.0,13009.0,13009.0,5135
2026-05-20 06:00:00+00:00,12991.0,13009.0,12971.0,13009.0,3433
2026-05-20 06:05:00+00:00,12999.0,13003.0,12981.0,12991.0,2237
2026-05-20 06:10:00+00:00,13004.0,13005.0,12990.0,12994.0,1360
2026-05-20 06:15:00+00:00,13025.0,13028.0,13002.0,13002.0,2040
2026-05-20 06:20:00+00:00,13019.0,13027.0,13008.0,13025.0,774
2026-05-20 06:25:00+00:00,13000.0,13023.0,13000.0,13018.0,1198
2026-05-20 06:30:00+00:00,12998.0,13011.0,12990.0,13011.0,1369
2026-05-20 06:35:00+00:00,12995.0,13000.0,12981.0,12997.0,1755
2026-05-20 06:40:00+00:00,13005.0,13005.0,12991.0,12994.0,667
2026-05-20 06:45:00+00:00,12999.0,13014.0,12999.0,13002.0,994
2026-05-20 06:50:00+00:00,13010.0,13019.0,12999.0,12999.0,766
2026-05-20 06:55:00+00:00,13014.0,13020.0,13009.0,13015.0,628
2026-05-20 07:00:00+00:00,13012.0,13019.0,13006.0,13014.0,866
2026-05-20 07:05:00+00:00,13014.0,13018.0,13009.0,13012.0,802
2026-05-20 07:10:00+00:00,13003.0,13017.0,13002.0,13012.0,428
2026-05-20 07:15:00+00:00,13010.0,13010.0,13001.0,13001.0,733
2026-05-20 07:20:00+00:00,13010.0,13015.0,13006.0,13010.0,893
2026-05-20 07:25:00+00:00,13022.0,13022.0,13010.0,13013.0,1219
2026-05-20 07:30:00+00:00,13007.0,13023.0,12997.0,13022.0,2172
2026-05-20 07:35:00+00:00,13010.0,13014.0,13000.0,13007.0,1195
2026-05-20 07:40:00+00:00,13012.0,13022.0,13004.0,13004.0,853
2026-05-20 07:45:00+00:00,13007.0,13016.0,13000.0,13012.0,705
2026-05-20 07:50:00+00:00,12998.0,13007.0,12992.0,13007.0,1272
2026-05-20 07:55:00+00:00,12990.0,13010.0,12987.0,12998.0,620
2026-05-20 08:00:00+00:00,13016.0,13016.0,12990.0,12990.0,1140
2026-05-20 08:05:00+00:00,13016.0,13033.0,13014.0,13016.0,1819
2026-05-20 08:10:00+00:00,13008.0,13018.0,13002.0,13013.0,762
2026-05-20 08:15:00+00:00,13000.0,13009.0,12992.0,13008.0,1343
2026-05-20 08:20:00+00:00,13008.0,13008.0,12998.0,13000.0,668
2026-05-20 08:25:00+00:00,13040.0,13043.0,13000.0,13008.0,3409
2026-05-20 08:30:00+00:00,13043.0,13045.0,13030.0,13039.0,1784
2026-05-20 08:35:00+00:00,13066.0,13070.0,13041.0,13043.0,5344
2026-05-20 08:40:00+00:00,13045.0,13072.0,13045.0,13070.0,1936
2026-05-20 08:45:00+00:00,13029.0,13054.0,13025.0,13049.0,1408
2026-05-20 08:50:00+00:00,13029.0,13039.0,13012.0,13029.0,1683
2026-05-20 08:55:00+00:00,13032.0,13032.0,13018.0,13027.0,975
2026-05-20 09:00:00+00:00,13026.0,13039.0,13025.0,13030.0,843
2026-05-20 09:05:00+00:00,13040.0,13042.0,13023.0,13023.0,701
2026-05-20 09:10:00+00:00,13041.0,13048.0,13038.0,13038.0,828
2026-05-20 09:15:00+00:00,13043.0,13049.0,13041.0,13043.0,930
2026-05-20 09:20:00+00:00,13048.0,13054.0,13036.0,13046.0,1619
2026-05-20 09:25:00+00:00,13046.0,13054.0,13043.0,13052.0,1057
2026-05-20 09:30:00+00:00,13000.0,13042.0,12998.0,13042.0,11456
2026-05-20 09:35:00+00:00,13011.0,13013.0,12996.0,13000.0,4543
2026-05-20 09:40:00+00:00,13001.0,13011.0,13000.0,13008.0,4751
2026-05-20 09:45:00+00:00,13000.0,13003.0,13000.0,13001.0,6318
2026-05-20 09:50:00+00:00,13001.0,13006.0,12999.0,13000.0,8757
2026-05-20 09:55:00+00:00,13004.0,13014.0,12999.0,13006.0,4597
2026-05-21 03:45:00+00:00,13064.0,13130.0,13055.0,13113.0,0
2026-05-21 03:50:00+00:00,13083.0,13091.0,13046.0,13060.0,5351
2026-05-21 03:55:00+00:00,13073.0,13099.0,13050.0,13086.0,3335
2026-05-21 04:00:00+00:00,13030.0,13068.0,13024.0,13068.0,3202
2026-05-21 04:05:00+00:00,13054.0,13059.0,13035.0,13035.0,1821
2026-05-21 04:10:00+00:00,13058.0,13060.0,13034.0,13046.0,3139
2026-05-21 04:15:00+00:00,13039.0,13061.0,13030.0,13057.0,3471
2026-05-21 04:20:00+00:00,13054.0,13059.0,13034.0,13038.0,2801
2026-05-21 04:25:00+00:00,13046.0,13064.0,13042.0,13054.0,2124
2026-05-21 04:30:00+00:00,13035.0,13052.0,13035.0,13038.0,2038
2026-05-21 04:35:00+00:00,13026.0,13040.0,13020.0,13035.0,2730
2026-05-21 04:40:00+00:00,13032.0,13037.0,13022.0,13024.0,1324
